bankruptid;startdate
140995;2017-03-30
141072;2017-03-30
141149;2017-03-31
141160;2017-03-31
141176;2017-03-31
141182;2017-03-31
141198;2017-03-31
141226;2017-03-31
141252;2017-04-01
141258;2017-04-01
141267;2017-04-01
141376;2017-04-03
141380;2017-04-04
141397;2017-04-03
141406;2017-04-03
141433;2017-04-03
141471;2017-04-03
141483;2017-05-16
141509;2017-04-03
141585;2017-04-04
141648;2017-04-05
141651;2017-04-05
141652;2017-04-05
141662;2018-05-17
141689;2017-04-05
141710;2017-04-05
141729;2017-04-05
141731;2017-04-05
141789;2017-09-14
141862;2017-04-06
141877;2017-04-06
141893;2017-04-06
141894;2017-04-06
141902;2017-04-06
141935;2017-04-07
141975;2017-04-07
142002;2017-04-07
14202;2020-02-26
142061;2017-04-07
142094;2017-04-08
142098;2017-04-08
142122;2017-04-08
142130;2017-04-08
142144;2017-04-09
142149;2017-04-09
142150;2017-04-09
142298;2017-04-10
142357;2017-04-10
142412;2017-04-11
142434;2017-04-11
142548;2017-04-12
142579;2017-04-12
142585;2017-04-12
142606;2017-04-12
142629;2017-04-12
142637;2017-04-13
142732;2017-04-13
142745;2017-04-13
142752;2017-04-13
142843;2017-04-14
142859;2017-04-14
142929;2017-04-14
142943;2017-04-14
142954;2017-04-14
142986;2017-04-15
143000;2017-04-15
143008;2017-04-16
143016;2017-04-16
143061;2017-04-17
143070;2017-04-17
143149;2017-04-17
143209;2017-04-17
143218;2017-04-17
143264;2017-04-18
143327;2017-04-18
143348;2017-04-18
143364;2017-04-18
143367;2017-04-18
143373;2017-04-18
143384;2017-04-18
143396;2017-04-18
143418;2017-04-19
143473;2017-04-19
143509;2017-04-19
143515;2017-04-19
143557;2017-04-20
143565;2017-04-20
143591;2017-04-20
143613;2017-04-20
143620;2017-04-20
143671;2017-04-20
143686;2017-04-20
143747;2017-04-21
143794;2017-04-21
143834;2017-04-21
143840;2017-04-21
143852;2017-04-21
143856;2017-04-21
143872;2017-04-21
143902;2017-04-22
143943;2017-04-23
144120;2017-04-24
144135;2017-04-24
144219;2017-04-25
144266;2017-04-25
144288;2017-04-26
144326;2017-04-26
144344;2017-04-26
144402;2017-04-26
144424;2017-04-27
144523;2017-04-27
144558;2017-04-27
144670;2017-04-28
144684;2017-04-28
144709;2017-04-28
144734;2017-04-28
144748;2017-04-28
144759;2017-04-28
144840;2017-04-30
144843;2017-04-30
144923;2017-05-02
144980;2017-05-02
144984;2017-05-02
144986;2017-05-02
145017;2017-05-02
145053;2017-05-02
145054;2017-05-02
145077;2017-05-02
145086;2017-05-02
145098;2017-05-02
145103;2017-05-02
145115;2017-05-02
145122;2017-05-02
145203;2017-05-03
145216;2017-05-03
145237;2017-05-03
145247;2017-05-03
145260;2017-05-03
145285;2017-05-03
145299;2017-05-03
145310;2017-05-04
145358;2017-05-04
145431;2017-05-04
145432;2017-05-04
